"ID"	"Trial"	"distCorr"	"Speed"	"distWalked"	"Blick"	"bedingung"	"geschw"	"TimeVsSpeed_K_VR"	" TimeVsSpeed_L_VR"	"TimeVsSpeed_K_D"	"TimeVsSpeed_L_D"
"10"	21	7	1.75	15.4711008072	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	22	7	1.75	9.13497161865	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	23	7	1.75	8.33806991577	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	24	7	3.5	7.15236186981	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	25	7	3.5	7.50245475769	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	26	35	3.5	40.6992073059	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	27	35	3.5	27.0163097382	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	28	35	3.5	31.4475479126	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	29	35	1.75	32.2639503479	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	30	35	1.75	39.8247299194	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	31	7	3.5	7.03575372696	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	32	35	1.75	29.2127761841	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	33	35	1.75	32.2640609741	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
"10"	34	35	3.5	35.9568595886	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	35	35	3.5	34.1686515808	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	36	7	3.5	8.62970256805	"vr"	"kurz"	"schnell"	"13"	"7"	"13"	"7"
"10"	37	7	1.75	8.00783634186	"vr"	"kurz"	"langsam"	"13"	"7"	"13"	"7"
"10"	38	35	3.5	33.9359092712	"vr"	"lang"	"schnell"	"13"	"7"	"13"	"7"
"10"	39	35	1.75	30.3787708282	"vr"	"lang"	"langsam"	"13"	"7"	"13"	"7"
